date,return
2002-05-01,0.07827254448145926
2002-06-01,0.14403965492409967
2002-07-01,0.11037185741299586
2002-08-01,-0.0015670543421530674
2002-09-01,0.11248326522769198
2002-10-01,-0.020564392104341134
2002-11-01,0.011971217122115935
2002-12-01,0.11825722653646713
2003-01-01,0.09671330083739194
2003-02-01,0.0507352337718861
2003-03-01,0.023581842773896466
2003-04-01,-0.03220270690519648
2003-05-01,0.04236650514995887
2003-06-01,-0.03865307315830948
2003-07-01,-0.06877480484815124
2003-08-01,-0.016507467691691133
2003-09-01,0.08229474156775662
2003-10-01,0.007994221638916584
2003-11-01,0.056947973041660715
2003-12-01,0.046988400530967
2004-01-01,0.028237209310359265
2004-02-01,-0.032300858360960236
2004-03-01,-0.03248735805888866
2004-04-01,-0.03365648617892508
2004-05-01,0.020531901824357716
2004-06-01,0.009583653213437134
2004-07-01,0.03217445701690882
2004-08-01,0.0010839014470658834
2004-09-01,0.011957395311850035
2004-10-01,0.06166539036170493
2004-11-01,0.03859900732205207
2004-12-01,-0.026139558349281833
2005-01-01,-0.03540950103422322
2005-02-01,-0.02500109562263415
2005-03-01,-0.009508875972579883
2005-04-01,-0.0054277813314548
2005-05-01,-0.08672218675916543
2005-06-01,-0.09125776589410443
2005-07-01,-0.05026259281478767
2005-08-01,-0.0014153042862103833
2005-09-01,-0.09144128266453573
2005-10-01,-0.043284364769990036
2005-11-01,-0.07658992748552176
2005-12-01,-0.0315187059489985
2006-01-01,-0.05142377610596666
2006-02-01,-0.048861386481568216
2006-03-01,-0.04511887416240134
2006-04-01,0.032456792625000015
2006-05-01,0.055381966246305904
2006-06-01,-0.04714320615280327
2006-07-01,-0.015746833783027516
2006-08-01,-0.04773065801594451
2006-09-01,-0.05546591043812025
2006-10-01,-0.03290572394235318
2006-11-01,0.01752904305114465
2006-12-01,-0.056354602615188515
2007-01-01,-0.05048131905410996
2007-02-01,0.002800850709671383
2007-03-01,-0.010988570846890415
2007-04-01,-0.036460809411433114
2007-05-01,-0.05206899230869452
2007-06-01,0.006932267776674034
2007-07-01,0.037981019213036295
2007-08-01,0.011519814589079717
2007-09-01,0.008578167328498467
2007-10-01,0.013583070464133018
2007-11-01,0.0393997426100594
2007-12-01,0.006450972035927015
2008-01-01,0.13550896429766385
2008-02-01,0.07332973366607436
2008-03-01,0.09329796956147739
2008-04-01,-0.05913953179158171
2008-05-01,-0.01328919610899545
2008-06-01,0.10706643655806695
2008-07-01,-0.01125874434752555
2008-08-01,-0.09435012247432262
2008-09-01,0.01901756576019383
2008-10-01,0.058789979630964474
2008-11-01,0.053542721963231926
2008-12-01,0.02469026275939738
2009-01-01,0.03996401809710667
2009-02-01,0.05213006318569053
2009-03-01,-0.011131551057355396
2009-04-01,-0.038422843149737464
2009-05-01,0.03864757982710836
2009-06-01,0.04454420960590128
2009-07-01,-0.04644878715460723
2009-08-01,-0.00502946232224085
2009-09-01,0.0194533804542869
2009-10-01,0.060529291771619594
2009-11-01,-0.0013763420742174172
2009-12-01,-0.06907106417381291
2010-01-01,0.0016322489897334345
2010-02-01,-0.0351844951612213
2010-03-01,-0.0695674413429086
2010-04-01,-0.03151957746176125
2010-05-01,0.015017430372904464
2010-06-01,0.06576108567923732
2010-07-01,0.030977675948992884
2010-08-01,0.06967736753586314
2010-09-01,0.022511734690065777
2010-10-01,0.021075409255245033
2010-11-01,-0.004328177605126716
2010-12-01,-0.037528543130082435
2011-01-01,0.023346849294742667
2011-02-01,0.014435598401488219
2011-03-01,0.07402742553013879
2011-04-01,0.019192337689746285
2011-05-01,0.036182370668742185
2011-06-01,0.03682818924783013
2011-07-01,0.06940198222877675
2011-08-01,0.06175729348983259
2011-09-01,0.005808421726771046
2011-10-01,-0.06265623728782646
2011-11-01,0.011259945795145316
2011-12-01,-0.008729737422094283
2012-01-01,-0.01851952053173055
2012-02-01,-0.035871419554677535
2012-03-01,-0.015086121346644367
2012-04-01,0.012921527942966067
2012-05-01,0.039492034834855576
2012-06-01,-0.04809579554937068
2012-07-01,-0.010315591508348565
2012-08-01,0.023342262113634382
2012-09-01,0.012820700189551266
2012-10-01,-0.020983572490009015
2012-11-01,-0.02415582719034097
2012-12-01,-0.024532482808572748
2013-01-01,-0.07287351203460149
2013-02-01,-0.05699981629031686
2013-03-01,-0.034687595427595634
2013-04-01,-0.05230835697401993
2013-05-01,-0.01027818544987895
2013-06-01,0.02724575348714937
2013-07-01,-0.04332456829893358
2013-08-01,0.036021959596490925
2013-09-01,-0.011568837969616552
2013-10-01,-0.01846744117844285
2013-11-01,-0.019240310163980815
2013-12-01,-0.0147001301254136
2014-01-01,0.0333305819366046
2014-02-01,-0.013224410940335218
2014-03-01,0.023380122722822295
2014-04-01,0.0016803456111691491
2014-05-01,-0.023063820226848265
2014-06-01,0.006138795165774966
2014-07-01,-0.00221295469047405
2014-08-01,-0.053497294337358614
2014-09-01,-0.03757866082089522
2014-10-01,-0.03471423920229231
2014-11-01,-0.07401144968291258
2014-12-01,-0.03127300168298666
2015-01-01,-0.05972851513884977
2015-02-01,-0.10572401475759431
2015-03-01,-0.03729704727918392
2015-04-01,0.026311041385022948
2015-05-01,0.004245778992185384
2015-06-01,0.0206474436184044
2015-07-01,-0.05859796582000107
2015-08-01,0.06708638312633035
2015-09-01,0.041345931398227696
2015-10-01,-0.09290385014591625
2015-11-01,-0.03185998584201497
2015-12-01,0.0129846373382027
2016-01-01,0.05573906193541975
2016-02-01,0.05773477987617495
2016-03-01,0.002650052184663201
2016-04-01,-0.004712273781716317
2016-05-01,-0.0332072957785658
