date,MOM
2003-06-01,0.03960338860037518
2003-07-01,0.026918416399317663
2003-08-01,0.030637026016014885
2003-09-01,0.060335991934658016
2003-10-01,0.05391483545756309
2003-11-01,0.03305464010531621
2003-12-01,0.03027171579178863
2004-01-01,0.04850865448567812
2004-02-01,0.06766329080611405
2004-03-01,0.0339386539493324
2004-04-01,0.05707937726331773
2004-05-01,0.05532352986057266
2004-06-01,0.014704430733286748
2004-07-01,0.0480713071903954
2004-08-01,0.012581890746283731
2004-09-01,0.021199400942209182
2004-10-01,0.005520466331833798
2004-11-01,0.00654516997954935
2004-12-01,0.024707520259718202
2005-01-01,0.05395560391841839
2005-02-01,0.02805496462767852
2005-03-01,0.04679136826554384
2005-04-01,0.054433872486418816
2005-05-01,0.0406103559461585
2005-06-01,0.035256666732994435
2005-07-01,0.033876843045772015
2005-08-01,0.05721808278025401
2005-09-01,0.04226603163022528
2005-10-01,0.0806431840351194
2005-11-01,0.07849881513623733
2005-12-01,0.06274776663768065
2006-01-01,0.0711946820260271
2006-02-01,0.0463967139380755
2006-03-01,0.02702950489373235
2006-04-01,0.0443115083088191
2006-05-01,0.02730879463032758
2006-06-01,0.017467407391041037
2006-07-01,0.03148308044947636
2006-08-01,0.052161882263037036
2006-09-01,0.05283353921456008
2006-10-01,0.04261043319250273
2006-11-01,0.020899574236023816
2006-12-01,0.018135694037484634
2007-01-01,0.05921568101513658
2007-02-01,0.059644246861372444
2007-03-01,0.0232926730817139
2007-04-01,0.024872514409542818
2007-05-01,0.042703080410094615
2007-06-01,0.03118351363270374
2007-07-01,0.03912630257002883
2007-08-01,0.026112419806033516
2007-09-01,0.00759190828737395
2007-10-01,0.023657953661953952
2007-11-01,0.020785189092387
2007-12-01,0.040277689296580765
2008-01-01,0.027875764513972882
2008-02-01,0.029792042503483475
2008-03-01,0.03493444165082593
2008-04-01,0.025542994629462527
2008-05-01,0.07833105846949226
2008-06-01,0.06176870538944839
2008-07-01,0.06086648905235781
2008-08-01,0.07870265975700833
2008-09-01,-0.004210548817119015
2008-10-01,0.020389382712123625
2008-11-01,-0.005225615008850638
2008-12-01,0.03509783217789261
2009-01-01,0.012406118675802767
2009-02-01,0.02337112202038566
2009-03-01,0.01791567710303263
2009-04-01,-0.005443397526136911
2009-05-01,0.006855645324169591
2009-06-01,0.03982377366835427
2009-07-01,0.028064157639460383
2009-08-01,0.0008993092342229753
2009-09-01,0.014624838989699603
2009-10-01,-0.02704130723762177
2009-11-01,0.031466102626094686
2009-12-01,0.022288008184387368
2010-01-01,0.002969078126493765
2010-02-01,0.03953473747730643
2010-03-01,0.0501382812873661
2010-04-01,0.005396225351939343
2010-05-01,0.019098581091328202
2010-06-01,0.024337551338986352
2010-07-01,0.014794299613470042
2010-08-01,0.04045334344889187
2010-09-01,0.0320831789275608
2010-10-01,0.0302900530351375
2010-11-01,0.045485971683634496
2010-12-01,0.01556048581742939
2011-01-01,0.032607437261319205
2011-02-01,0.022854588851472783
2011-03-01,0.021210680177589654
2011-04-01,0.03731793624131583
2011-05-01,0.06261082931688179
2011-06-01,0.02167957845487288
2011-07-01,0.021948109509450767
2011-08-01,0.02681609686377666
2011-09-01,-0.01767307299883056
2011-10-01,0.04137602967237654
2011-11-01,0.01722641608300684
2011-12-01,0.0359405971754567
2012-01-01,0.046860986080939505
2012-02-01,-0.0023138134347663493
2012-03-01,0.026351787807158498
2012-04-01,0.03374145258175762
2012-05-01,0.010408653891622363
2012-06-01,0.00515837386811293
2012-07-01,0.03482176093352185
2012-08-01,-0.0025897752603752846
2012-09-01,0.003785909352669833
2012-10-01,0.026157283601123398
2012-11-01,-0.0036706757614621338
2012-12-01,0.017843682475857384
2013-01-01,-0.007392285129490718
2013-02-01,0.022124613840818635
2013-03-01,0.009044334684851735
2013-04-01,0.06478911355744647
2013-05-01,0.04680777727008231
2013-06-01,0.014516665834111729
2013-07-01,0.02445496478304113
2013-08-01,-0.028141885009785168
2013-09-01,-0.0064598646974285325
2013-10-01,0.055758894698474795
2013-11-01,-0.00730418179896995
2013-12-01,0.04378805340313338
2014-01-01,0.0301142207522811
2014-02-01,-0.001639423438631533
2014-03-01,-0.015088004767171849
2014-04-01,0.022873230580833067
2014-05-01,0.009033783544038852
2014-06-01,0.02102312837241553
2014-07-01,0.01857417165017647
2014-08-01,-0.03665637276906362
2014-09-01,0.02277074253217618
2014-10-01,0.05073312776668662
2014-11-01,0.010371215802567666
2014-12-01,0.04422852878587768
2015-01-01,0.006850989849989783
2015-02-01,-0.06164474424447616
2015-03-01,0.023277679716959546
2015-04-01,0.03681703749045725
2015-05-01,0.013761740049534534
2015-06-01,0.0312188002325382
2015-07-01,0.027188327572902952
2015-08-01,0.01779360989163873
2015-09-01,0.0036772044176068656
2015-10-01,-0.013895296785018586
2015-11-01,0.03716309806336794
2015-12-01,0.03508726263356978
2016-01-01,-0.02864057829656817
2016-02-01,0.009610703309126353
2016-03-01,-0.020645726967347903
2016-04-01,-0.005541661166358917
2016-05-01,0.016261991236909766
2016-06-01,0.011598568886481234
2016-07-01,0.02155200723290965
2016-08-01,-0.012469120598702841
2016-09-01,0.02580843958641934
2016-10-01,0.006797695690917734
2016-11-01,-0.0012872493312761318
2016-12-01,-0.013531744067991998
2017-01-01,0.010593930175230283
2017-02-01,0.0183902816240979
2017-03-01,0.019662025927846383
2017-04-01,0.032109520422367734
2017-05-01,0.04279092315003229
2017-06-01,0.04978706464070473
2017-07-01,0.0014296525055997001
2017-08-01,0.013401067205075385
2017-09-01,0.00768085565551805
