date,us_ret_with_div_usd,us_ret_without_div_usd,rf_usd,australia_ret_with_div_usd,australia_ret_without_div_usd,france_ret_with_div_usd,france_ret_without_div_usd,germany_ret_with_div_usd,germany_ret_without_div_usd,japan_ret_with_div_usd,japan_ret_without_div_usd,switzerland_ret_with_div_usd,switzerland_ret_without_div_usd,united kingdom_ret_with_div_usd,united kingdom_ret_without_div_usd
2002-01-01,-0.015966,-0.016921,0.0014,,,,,,,,,,,,
2002-02-01,-0.0217,-0.023066,0.0013,0.006343384432527355,0.0037967662382996092,0.009899216104743314,0.009844923700011332,0.005422609332261352,0.0054136931406914,0.04225566529999991,0.041997671799999914,0.027454497461310012,0.02743923830111994,0.003314480245026896,-0.0004415017537078292
2002-03-01,0.044698,0.04373,0.0013,-0.019280917781278384,-0.026220660572298105,0.044999931280515604,0.04486255138825013,0.042265569743896725,0.04141274948794216,0.03926226016447365,0.03450075036184197,0.03471275954123554,0.03156583183324946,0.03871103687089272,0.033443051913295996
2002-04-01,-0.0496,-0.050504,0.0015,-0.031982659026906,-0.03308501958744403,-0.054130508004966105,-0.05587867695417603,-0.05516223949142207,-0.05720262690925493,0.020585978700000007,0.02057376870000005,-0.015970334784615403,-0.019777074415880835,-0.026969269879409508,-0.02899015670732552
2002-05-01,-0.01051,-0.011958,0.0014,-0.02675348538959621,-0.028260172680974804,-0.06087491245801546,-0.06809287426172317,-0.0586397412235552,-0.06575644781679402,-0.0033540105569620504,-0.0034185336911390918,-0.03671582614299318,-0.040174957626310626,-0.0229264596949581,-0.025352781345869158
2002-06-01,-0.070259,-0.071515,0.0013,-0.058272843513199724,-0.06328175857937346,-0.11839685890492613,-0.12402349551929703,-0.10676859396297445,-0.11039494484154366,-0.10638754219753077,-0.10657876803703692,-0.10996886480782264,-0.1103398279728981,-0.0973039993981264,-0.09885553942077241
2002-07-01,-0.081125,-0.08231,0.0015,-0.012796764811484063,-0.017036482785481977,-0.13779601728545554,-0.1389402481249119,-0.14243893319627576,-0.14634420472471066,-0.10206270354117664,-0.1022917067411766,-0.1706829806187814,-0.17351599433176335,-0.13211407556999666,-0.13388899733080617
2002-08-01,0.007949,0.006405,0.0014,0.03967470179205601,0.035841300033622625,0.011051252665882805,0.011042723456701653,0.012803084379920282,0.012303932143441276,-0.012796798690476008,-0.012979263333333102,0.02238819142997439,0.018237890735079976,0.01572965684523031,0.009865179999674734
2002-09-01,-0.099923,-0.101387,0.0014,-0.048683468979322964,-0.05599087634949673,-0.15077662545492554,-0.1508213810606771,-0.20693309487405664,-0.20717832806394032,-0.00940749913253014,-0.012986399084337408,-0.09191073548424666,-0.09225754981469314,-0.12551426052560566,-0.1274519161868536
2002-10-01,0.07494,0.073522,0.0014,0.00531947424518342,0.0026059528532349496,0.109785653937301,0.1095311881373624,0.10304967558228673,0.10304967558228673,-0.0380052670246912,-0.03801792196296283,0.030384924500000077,0.030368585199999965,0.07368106084896953,0.07207491298464208
2002-11-01,0.061282,0.059612,0.0012,-0.025187492394441513,-0.030311548222340945,0.02519008746793161,0.02516979114063722,0.007032859761110455,0.006972754034155537,0.021302208360975294,0.021223987056097515,0.018918039284754995,0.018918039284754995,0.023109061197886804,0.02053048923922729
2002-12-01,-0.053334,-0.054977,0.0011,-0.011876850830369823,-0.02061514607574677,-0.08114475042368052,-0.08158206530105949,-0.11211683354610547,-0.11216691917323918,-0.053215036999999965,-0.053596525000000006,-0.10268295079625878,-0.10272837157410053,-0.06007893944512388,-0.0613374575964194
2003-01-01,-0.023367,-0.024576,0.001,-0.04865677323588946,-0.04877501134740092,-0.07951886865467905,-0.0795917919356055,-0.0723175869361703,-0.07372797702880829,-0.04899148171428558,-0.04905986776190463,-0.09130930281486593,-0.09130930281486593,-0.1060775332696754,-0.10681987361483769
2003-02-01,-0.015417,-0.017243,0.0009,-0.07330262537424459,-0.07644372530255217,-0.06669157020806682,-0.06671993198219739,-0.0673510531070931,-0.06782168600556326,-0.0029480539999999777,-0.003279315000000005,-0.063986569196817,-0.06411761291893348,0.03356712967581932,0.028399756677809362
2003-03-01,0.010321,0.008901,0.001,0.02979428205639234,0.00949000248618459,-0.0448377614420673,-0.045069513581550535,-0.03812834172131152,-0.03835892915671035,-0.030836902,-0.03700456699999999,-0.007579187438529589,-0.012478652326208262,0.011497963659526045,0.004135846274249566
2003-04-01,0.082768,0.08118,0.001,0.03129644305409851,0.030255907612458888,0.10669373049220221,0.10262901555166648,0.16104763610999817,0.15330179505103114,0.02742665176385528,0.027405463421686704,0.13465915323866295,0.1235273604828393,0.09691542667021413,0.09319640235879012
2003-05-01,0.063471,0.061778,0.0009,-0.052105129625850455,-0.0544510110961659,-0.029597024296486585,-0.040221875893509784,-0.038648747077846934,-0.04743437858757349,0.024854250749411833,0.024751596544705823,-0.04032458982214504,-0.04397862579080902,0.011820603948816455,0.008871558784276257
