date,country,currency,mportret,mportretx
2019-02-27,AUSTRALIA,AUD,0.0544284845,0.0459885361
2019-03-29,AUSTRALIA,AUD,0.000830556,-0.003983675
2019-04-30,AUSTRALIA,AUD,0.0240379434,0.0236616756
2019-05-31,AUSTRALIA,AUD,0.0189474057,0.0124835274
2019-06-28,AUSTRALIA,AUD,0.0342691335,0.0319804834
2019-07-31,AUSTRALIA,AUD,0.031367704,0.0312280222
2019-08-30,AUSTRALIA,AUD,-0.020686716,-0.027319078
2019-09-30,AUSTRALIA,AUD,0.0215515484,0.0151827239
2019-10-31,AUSTRALIA,AUD,-0.005102633,-0.005749973
2019-11-29,AUSTRALIA,AUD,0.0257450552,0.0208324974
2019-12-31,AUSTRALIA,AUD,-0.019815444,-0.021852089
2020-01-31,AUSTRALIA,AUD,0.0465505348,0.0465117842
2020-02-28,AUSTRALIA,AUD,-0.079811701,-0.085033033
2020-03-31,AUSTRALIA,AUD,-0.215960718,-0.221394264
2020-04-30,AUSTRALIA,AUD,0.0973079976,0.0971432974
2020-05-29,AUSTRALIA,AUD,0.0495007412,0.0482855141
2020-06-30,AUSTRALIA,AUD,0.0236463842,0.0218205013
2020-07-31,AUSTRALIA,AUD,0.0100602469,0.0099269184
2020-08-31,AUSTRALIA,AUD,0.0384613693,0.0324360355
2020-09-30,AUSTRALIA,AUD,-0.033267007,-0.037146789
2020-10-30,AUSTRALIA,AUD,0.0213485091,0.0196692901
2020-11-30,AUSTRALIA,AUD,0.1000668459,0.0976932083
2020-12-31,AUSTRALIA,AUD,0.0176743454,0.0162010784
2021-01-29,AUSTRALIA,AUD,0.0065196216,0.0064526457
2021-02-26,AUSTRALIA,AUD,0.0136415056,0.0092500697
2021-03-31,AUSTRALIA,AUD,0.0210357357,0.0137086818
2021-04-30,AUSTRALIA,AUD,0.0370621572,0.0367874563
2021-05-31,AUSTRALIA,AUD,0.0225599202,0.0188358431
2021-06-30,AUSTRALIA,AUD,0.0246455063,0.0192950568
2021-07-30,AUSTRALIA,AUD,0.0092338308,0.0090551949
2021-08-31,AUSTRALIA,AUD,0.0271195411,0.022316404
2021-09-30,AUSTRALIA,AUD,-0.013223593,-0.022524516
2021-10-29,AUSTRALIA,AUD,0.0036766867,0.003314123
2021-11-30,AUSTRALIA,AUD,-0.005028431,-0.00946284
2021-12-31,AUSTRALIA,AUD,0.0277035247,0.0259812749
2022-01-31,AUSTRALIA,AUD,-0.063848251,-0.063893136
2022-02-28,AUSTRALIA,AUD,0.0160966135,0.005965354
2022-03-31,AUSTRALIA,AUD,0.0707801487,0.0659659855
2022-04-29,AUSTRALIA,AUD,-0.003000624,-0.003218504
2022-05-31,AUSTRALIA,AUD,-0.035380253,-0.050602806
2022-06-30,AUSTRALIA,AUD,-0.093968854,-0.095509251
2022-07-29,AUSTRALIA,AUD,0.065237082,0.0645119889
2022-08-31,AUSTRALIA,AUD,0.0144597647,0.0094482059
2022-09-30,AUSTRALIA,AUD,-0.0621261,-0.074124918
2022-10-31,AUSTRALIA,AUD,0.0533334326,0.0526949379
2022-11-30,AUSTRALIA,AUD,0.0649128401,0.0606354537
2022-12-30,AUSTRALIA,AUD,-0.033314732,-0.035193115
2023-01-31,AUSTRALIA,AUD,0.0624717256,0.0622718437
2023-02-28,AUSTRALIA,AUD,-0.024654232,-0.029804234
2023-03-31,AUSTRALIA,AUD,-0.003919585,-0.013608264
2023-04-28,AUSTRALIA,AUD,0.0170542773,0.0165119908
2023-05-31,AUSTRALIA,AUD,-0.028874474,-0.032765959
2023-06-30,AUSTRALIA,AUD,0.0189098229,0.0171276426
2023-07-31,AUSTRALIA,AUD,0.0287213942,0.02847096
2023-08-31,AUSTRALIA,AUD,-0.00681966,-0.013596026
2023-09-29,AUSTRALIA,AUD,-0.025695573,-0.033349047
2023-10-31,AUSTRALIA,AUD,-0.038151956,-0.039232693
2023-11-30,AUSTRALIA,AUD,0.0485156132,0.0440004796
2023-12-29,AUSTRALIA,AUD,0.0719665053,0.0704390968
2024-01-31,AUSTRALIA,AUD,0.0120989931,0.0118124149
2024-02-29,AUSTRALIA,AUD,0.0117365617,0.0056273682
2024-03-28,AUSTRALIA,AUD,0.0289860222,0.0224178308
2024-04-30,AUSTRALIA,AUD,-0.028630165,-0.029078895
2024-05-31,AUSTRALIA,AUD,0.0091189715,0.0043511001
2024-06-28,AUSTRALIA,AUD,0.0090446698,0.0074505462
2024-07-31,AUSTRALIA,AUD,0.0380632957,0.0378877628
2024-08-30,AUSTRALIA,AUD,0.0050754168,0.0006347586
2024-09-30,AUSTRALIA,AUD,0.0336283558,0.0251925478
2024-10-31,AUSTRALIA,AUD,-0.011883287,-0.012248121
2024-11-29,AUSTRALIA,AUD,0.0353528376,0.031699571
2024-12-31,AUSTRALIA,AUD,-0.029889349,-0.031248451
