date,country,currency,mportret,mportretx
2009-05-29,UNITED KINGDOM,GBP,0.041870942,0.0359514027
2009-06-30,UNITED KINGDOM,GBP,-0.025554098,-0.029688393
2009-07-31,UNITED KINGDOM,GBP,0.0870401471,0.0854876709
2009-08-28,UNITED KINGDOM,GBP,0.0808533887,0.0749759375
2009-09-30,UNITED KINGDOM,GBP,0.0417675016,0.040108193
2009-10-30,UNITED KINGDOM,GBP,-0.019596214,-0.020591914
2009-11-30,UNITED KINGDOM,GBP,0.0209856527,0.0162559677
2009-12-31,UNITED KINGDOM,GBP,0.0418146578,0.040661148
2010-01-29,UNITED KINGDOM,GBP,-0.03045129,-0.031147221
2010-02-26,UNITED KINGDOM,GBP,0.0330062876,0.027956004
2010-03-31,UNITED KINGDOM,GBP,0.0643788013,0.0584444338
2010-04-30,UNITED KINGDOM,GBP,-0.009742805,-0.011945827
2010-05-28,UNITED KINGDOM,GBP,-0.065125783,-0.068660996
2010-06-30,UNITED KINGDOM,GBP,-0.042480446,-0.04599878
2010-07-30,UNITED KINGDOM,GBP,0.0724931307,0.0710266742
2010-08-31,UNITED KINGDOM,GBP,-0.002288753,-0.006911214
2010-09-30,UNITED KINGDOM,GBP,0.0613163286,0.0596895276
2010-10-29,UNITED KINGDOM,GBP,0.0191190992,0.0175530819
2010-11-30,UNITED KINGDOM,GBP,-0.025856806,-0.028561117
2010-12-31,UNITED KINGDOM,GBP,0.0674280574,0.0661982912
2011-01-31,UNITED KINGDOM,GBP,-0.003603124,-0.004443245
2011-02-28,UNITED KINGDOM,GBP,0.0238794962,0.0195356738
2011-03-31,UNITED KINGDOM,GBP,-0.013941317,-0.018222496
2011-04-28,UNITED KINGDOM,GBP,0.0302868511,0.027811871
2011-05-31,UNITED KINGDOM,GBP,-0.003721825,-0.007726911
2011-06-30,UNITED KINGDOM,GBP,-0.006060529,-0.009463038
2011-07-29,UNITED KINGDOM,GBP,-0.021476067,-0.022831372
2011-08-31,UNITED KINGDOM,GBP,-0.072552874,-0.078602413
2011-09-30,UNITED KINGDOM,GBP,-0.04377643,-0.045549996
2011-10-31,UNITED KINGDOM,GBP,0.072908907,0.0714209809
2011-11-30,UNITED KINGDOM,GBP,-0.00763799,-0.014151825
2011-12-30,UNITED KINGDOM,GBP,0.0056151635,0.005016353
2012-01-31,UNITED KINGDOM,GBP,0.0285561018,0.0273228834
2012-02-29,UNITED KINGDOM,GBP,0.0438504342,0.0374731162
