month,currency,mportret,mportretx,USD_per_CHF
2002-01,CHF,-0.013242580375500001,-0.013254410925000001,0.5985
2002-02,CHF,0.006871656815510001,0.006862802818730001,0.5893
2002-03,CHF,0.029124006702780005,0.027218829594000002,0.5973
2002-04,CHF,-0.0024836493045,-0.004812562326000001,0.6045
2002-05,CHF,0.0018648346579199998,-0.00040202295599999996,0.6294
2002-06,CHF,-0.05304752026619999,-0.0532960787656,0.6494
2002-07,CHF,-0.0899331604124,-0.091946826599,0.6794
2002-08,CHF,0.0033946239242800005,0.00066955866286,0.6679
2002-09,CHF,-0.059913653713399996,-0.06014654121869999,0.6697
2002-10,CHF,0.020348783937649998,0.020337841508439997,0.6697
2002-11,CHF,0.025880089147559997,0.025880089147559997,0.6822
2002-12,CHF,-0.059663489165,-0.059695648899999995,0.695
2003-01,CHF,-0.0364151157865,-0.0364151157865,0.7265
2003-02,CHF,-0.0388020907848,-0.0388995878624,0.7352
2003-03,CHF,-0.006260946308500001,-0.0098561769085,0.7345
2003-04,CHF,0.08760841248735,0.0796312553737,0.7255
2003-05,CHF,0.006774873653810001,0.00384504046699,0.7627
2003-06,CHF,0.027122564388239997,0.02689091046018,0.7578
2003-07,CHF,0.035430000145500004,0.03511607583969,0.7347
2003-08,CHF,0.015307227878409999,0.01461109935454,0.7241
2003-09,CHF,-0.0110495002204,-0.011328728362000001,0.7276
2003-10,CHF,0.0317620490001,0.03175049765205,0.7563
2003-11,CHF,0.01337840985,0.01335790404753,0.7509
2003-12,CHF,0.0209112354304,0.0208712299726,0.791
2004-01,CHF,0.0394688287107,0.0394688287107,0.807
2004-02,CHF,0.01247369116031,0.00953775111927,0.8033
2004-03,CHF,-0.0190981446656,-0.0192587866198,0.7826
2004-04,CHF,0.023324184374920003,0.015441502352760001,0.7711
2004-05,CHF,-0.017113479062700002,-0.018666270735700003,0.7789
2004-06,CHF,0.00564051783792,0.005138045487419999,0.7998
2004-07,CHF,-0.015995304151200002,-0.0174099326772,0.8031
2004-08,CHF,-0.0133033028998,-0.013547198306000001,0.7922
2004-09,CHF,0.0059300330450599995,0.00559049273562,0.7918
2004-10,CHF,-0.010201094565,-0.010216394080000002,0.811
2004-11,CHF,0.01660544636043,0.01660544636043,0.8539
2004-12,CHF,0.033944503232079995,0.033944503232079995,0.8722
2005-01,CHF,0.0204291774976,0.0204291774976,0.848
2005-02,CHF,0.02936081409573,0.029289145725629996,0.8391
2005-03,CHF,-0.0028016731066000003,-0.0063625909226,0.8506
2005-04,CHF,-0.0113679521865,-0.0196735857815,0.8365
2005-05,CHF,0.03154164654888,0.02775850825696,0.8216
2005-06,CHF,0.01699770830352,0.01652752234896,0.7896
2005-07,CHF,0.04170910296675,0.04064906270775,0.7725
2005-08,CHF,-0.007243095017599999,-0.007613667711,0.7918
2005-09,CHF,0.04806948429112,0.04721137750288,0.7892
2005-10,CHF,0.0036848338411200002,0.0036848338411200002,0.7764
2005-11,CHF,0.037734848772680005,0.037734848772680005,0.7628
2005-12,CHF,0.02221258632073,0.02221258632073,0.7661
2006-01,CHF,0.026929806977660002,0.026916672186070002,0.7829
2006-02,CHF,0.01662600503916,0.0165766132587,0.7662
2006-03,CHF,0.02071352916272,0.017655915226199997,0.7663
2006-04,CHF,0.0140284732095,0.0071680302678599995,0.7794
2006-05,CHF,-0.0455830653122,-0.0487512911353,0.8203
2006-06,CHF,-0.002608133412,-0.0035503166056,0.8116
2006-07,CHF,0.023928589447200003,0.0224340459064,0.808
2006-08,CHF,0.02383396952508,0.02342809761336,0.8118
2006-09,CHF,0.034421233890049995,0.03367278014484999,0.8029
2006-10,CHF,0.01834648183935,0.01834648183935,0.7935
2006-11,CHF,-0.0029956522755,-0.0029956522755,0.8093
2006-12,CHF,0.0386445165237,0.0386445165237,0.8265
2007-01,CHF,0.03356391039252,0.03348613569148,0.8044
2007-02,CHF,-0.0269211283781,-0.0269211283781,0.8069
2007-03,CHF,0.027213491078320003,0.02404923872172,0.8212
2007-04,CHF,0.04924225339688,0.040136269878319995,0.8248
2007-05,CHF,0.01028827430755,0.00655693336457,0.8189
2007-06,CHF,-0.018396539092,-0.018621226642,0.811
2007-07,CHF,-0.028735140375600002,-0.029411861310000002,0.8286
2007-08,CHF,-0.005406669102,-0.0057760172445,0.8315
2007-09,CHF,0.0039316630925,0.0032012623843199997,0.8437
2007-10,CHF,0.01822430968764,0.018207834743519998,0.8517
2007-11,CHF,-0.0346312396226,-0.0346312396226,0.8902
2007-12,CHF,-0.021528961709,-0.021528961709,0.877
2008-01,CHF,-0.0980396290874,-0.09811413973899999,0.9086
2008-02,CHF,-0.0114104661303,-0.0150700431498,0.9183
2008-03,CHF,-0.0351367656432,-0.036517548955200006,0.9876
2008-04,CHF,0.06758662087944001,0.055936129349520004,0.9864
2008-05,CHF,0.01114064466997,0.005874374963649999,0.9571
2008-06,CHF,-0.0853909587678,-0.0859024649394,0.9642
2008-07,CHF,0.010700501135,0.00811366076275,0.9725
2008-08,CHF,0.02177384870056,0.02150241571288,0.9224
2008-09,CHF,-0.07950541858929999,-0.0800559498475,0.9007
2008-10,CHF,-0.097250083,-0.107212455875,0.875
2008-11,CHF,-0.045798355549200004,-0.045798355549200004,0.8396
2008-12,CHF,-0.0351952206933,-0.0355264153005,0.8769
2009-01,CHF,-0.0412142140125,-0.0412142140125,0.8875
2009-02,CHF,-0.0809565803136,-0.08723758148159999,0.8592
2009-03,CHF,0.019666448225299997,0.01759870205256,0.8654
2009-04,CHF,0.1013442252121,0.08815501704100001,0.871
2009-05,CHF,0.02926363493466,0.02646677388257,0.9029
2009-06,CHF,0.007664824118520001,0.007217412756840001,0.9252
2009-07,CHF,0.07831524944964,0.07631706167208,0.9276
2009-08,CHF,0.046056840141730004,0.045918170125739996,0.9361
2009-09,CHF,0.027115573419840003,0.02693395910832,0.9624
2009-10,CHF,-0.0097087634328,-0.0186736957837,0.9791
2009-11,CHF,-0.0019059933642,-0.0019059933642,0.9871
2009-12,CHF,0.038289899455200005,0.038242085128199994,0.9708
2010-01,CHF,-0.0103502935277,-0.0104015595621,0.9667
2010-02,CHF,0.03135265631013,0.03122744525247,0.9327
2010-03,CHF,0.04413198197184,0.03638236543424,0.9376
2010-04,CHF,-0.017840667915,-0.02897310856,0.9355
2010-05,CHF,-0.0344061274518,-0.038731591704,0.8853
2010-06,CHF,-0.018233931163499997,-0.0184968756305,0.8885
2010-07,CHF,0.02652873527329,0.02485822304011,0.9497
2010-08,CHF,-0.0076567254338,-0.0079490458766,0.9626
2010-09,CHF,0.02954026236568,0.02933104931666,0.9998
2010-10,CHF,0.023679209301720003,0.02365075326052,1.0324
2010-11,CHF,-0.016989603402,-0.016989603402,1.0155
2010-12,CHF,0.02803464960781,0.02803464960781,1.0321
2011-01,CHF,0.00077588175525,0.0006831542692500001,1.0455
2011-02,CHF,0.0281866654273,0.02161875320742,1.0526
2011-03,CHF,-0.0246180480258,-0.027019662524700002,1.0887
2011-04,CHF,0.03895082675856,0.023150506828960003,1.1146
2011-05,CHF,-0.004777000674000001,-0.0124900402878,1.1442
2011-06,CHF,-0.0669907577098,-0.0675093535653,1.1903
2011-07,CHF,-0.09099187498080001,-0.0912978891666,1.2174
2011-08,CHF,-0.0687097865137,-0.0695043167047,1.2821
2011-09,CHF,-0.0137640296754,-0.014137159856400001,1.1406
2011-10,CHF,0.049164953751180004,0.04909204797492,1.1163
2011-11,CHF,-0.021617548971800002,-0.02194313713,1.1014
2011-12,CHF,0.037251381031919995,0.037251381031919995,1.0714
2012-01,CHF,0.01655365098548,0.01645931288198,1.0666
2012-02,CHF,0.039181158343469996,0.03081380541503,1.0967
2012-03,CHF,0.02377302604528,0.021236787293919996,1.0952
2012-04,CHF,-0.010251578262299998,-0.0297504640395,1.0949
2012-05,CHF,-0.03719418075420001,-0.0419893034156,1.0658
2012-06,CHF,0.02676007941495,0.02653896779178,1.0443
2012-07,CHF,0.047433738556020004,0.04697341051448,1.0222
2012-08,CHF,-0.00118283665,-0.001423225047,1.033
2012-09,CHF,0.020447998785619995,0.019926285723119996,1.0654
2012-10,CHF,0.0162615609606,0.01622107041786,1.0726
2012-11,CHF,0.03187132980848,0.03187132980848,1.0652
2012-12,CHF,0.00182794916646,0.00182794916646,1.0854
2013-01,CHF,0.0765890793345,0.0764956033302,1.083
2013-02,CHF,0.03529825393835,0.0284600282603,1.0855
2013-03,CHF,0.027081151942359997,0.024680952723439998,1.0564
2013-04,CHF,0.02276084572278,0.0033049974442800004,1.0677
2013-05,CHF,0.004809406546560001,0.00210546028896,1.0464
2013-06,CHF,-0.03585344700140001,-0.03595672351530001,1.0717
2013-07,CHF,0.030353520540160002,0.03028438624602,1.0583
2013-08,CHF,-0.0102269121366,-0.0106326761412,1.0798
2013-09,CHF,0.03582587117325,0.03526494482472,1.0833
2013-10,CHF,0.029945206658400003,0.029902909201600002,1.108
2013-11,CHF,0.0051681345531399995,0.00498672174432,1.0954
2013-12,CHF,-0.0017501113778,-0.0017501113778,1.1194
2014-01,CHF,0.00182017924488,0.00176113797912,1.1064
2014-02,CHF,0.0387280649936,0.03187324867717,1.1189
2014-03,CHF,0.0064847357014,0.00368398718067,1.1357
2014-04,CHF,0.02156738871552,0.00525974967168,1.1328
2014-05,CHF,0.028516611085479995,0.020947766198029998,1.1257
2014-06,CHF,-0.016041294629100002,-0.0161986103229,1.1163
2014-07,CHF,-0.0267137790542,-0.026781867875799996,1.1138
2014-08,CHF,0.033325080088589996,0.03283626492576,1.0991
2014-09,CHF,0.0082788888424,0.00756649196864,1.0672
2014-10,CHF,-0.0016324237850000001,-0.0016697702425000002,1.0495
2014-11,CHF,0.037841513869889994,0.03760367863077,1.0371
2014-12,CHF,-0.0092403911634,-0.0092403911634,1.0253
2015-01,CHF,-0.06828657249299999,-0.06834586908,1.059
2015-02,CHF,0.09041835395565001,0.09008494959744,1.0683
2015-03,CHF,0.019287778890239998,0.011311586178479998,1.0206
2015-04,CHF,0.00815759653122,-0.0067529692926,1.0422
2015-05,CHF,0.01821679548504,0.012128154354059999,1.0734
2015-06,CHF,-0.0498077427672,-0.0504390126168,1.0728
2015-07,CHF,0.07080619350574001,0.07044503500792,1.0474
2015-08,CHF,-0.0581415814175,-0.0583795231075,1.0325
2015-09,CHF,-0.0324837224439,-0.0333702867134,1.0283
2015-10,CHF,0.05173518686949,0.05169314686491,1.0323
2015-11,CHF,0.0055449778772999996,0.0055449778772999996,0.9903
2015-12,CHF,-0.017062714623499998,-0.017062714623499998,1.0049
2016-01,CHF,-0.044654802374,-0.0447023014893,0.9919
2016-02,CHF,-0.0357353636873,-0.0418535125063,1.0081
2016-03,CHF,0.0013457257285000002,-0.0007811762305,1.0193
2016-04,CHF,0.026880575823,0.010903117019400001,1.038
2016-05,CHF,0.03036731462948,0.026522270269,1.0228
2016-06,CHF,-0.018194531539,-0.0183402484495,1.0315
2016-07,CHF,0.024042493935330003,0.022524414581970003,1.0173
2016-08,CHF,0.01467342793634,0.01430835879032,1.0298
2016-09,CHF,-0.00234847455,-0.0031337455350000003,1.0275
2016-10,CHF,-0.029472638390399996,-0.029511391605,1.0126
2016-11,CHF,0.012846370552540001,0.012846370552540001,1.0037
2016-12,CHF,0.0364755615219,0.0364755615219,0.981
2017-01,CHF,0.01055569065026,0.01051597096718,0.9926
2017-02,CHF,0.0297638899164,0.029699781089400003,0.999
2017-03,CHF,0.028174383537100004,0.018293083154000002,0.9985
2017-04,CHF,0.03763627663818,0.02598324021842,0.9991
2017-05,CHF,0.024659891433550005,0.01851030707775,1.0135
2017-06,CHF,0.004277405389899999,0.0035050393472999997,1.033
2017-07,CHF,0.01684001104368,0.01676225943368,1.0412
2017-08,CHF,-0.0146213814735,-0.0149025796362,1.0359
2017-09,CHF,0.031039568615499998,0.030276588524299996,1.039
2017-10,CHF,0.019061558677080002,0.019020771621479998,1.0182
2017-11,CHF,-0.0008548187579999999,-0.0008548187579999999,1.0086
2017-12,CHF,0.00606372975316,0.00606372975316,1.0132
2018-01,CHF,0.00938737257216,0.00938737257216,1.0412
2018-02,CHF,-0.04770696415589999,-0.0477578918964,1.0689
2018-03,CHF,-0.0131595810731,-0.021004018959,1.0549
2018-04,CHF,0.035329274161200006,0.02102747552262,1.0323
2018-05,CHF,-0.032943033800600006,-0.0381855955166,1.0031
2018-06,CHF,0.0230187133449,0.02282839282815,1.0101
2018-07,CHF,0.046005763007120004,0.04581819690896,1.0052
2018-08,CHF,-0.0159974003666,-0.0165899515173,1.0121
2018-09,CHF,0.00345918479424,0.00266458090487,1.0327
2018-10,CHF,-0.02329510702,-0.02334017079,1.006
