month,currency,mportret,mportretx,USD_per_GBP
2002-01,GBP,-0.015562425555599998,-0.016785265127399997,1.4322
2002-02,GBP,-0.0047527527139,-0.0100609431575,1.4227
2002-03,GBP,0.0553974844872,0.0478995611638,1.423
2002-04,GBP,-0.0192798609807,-0.0222365766299,1.4429
2002-05,GBP,-0.0167620994874,-0.0203455289394,1.4598
2002-06,GBP,-0.1224422905705,-0.12478199941590001,1.4837
2002-07,GBP,-0.13935333760149998,-0.142251557723,1.5565
2002-08,GBP,0.0044167194012,-0.0044817406408,1.5368
2002-09,GBP,-0.178068997971,-0.18112283519560002,1.5563
2002-10,GBP,0.11604766299175001,0.11354415882950002,1.5575
2002-11,GBP,0.05034242799744,0.046255858797749995,1.5711
2002-12,GBP,-0.0808782002994,-0.08289390219159999,1.5863
2003-01,GBP,-0.1431414696325,-0.1443658217,1.6175
2003-02,GBP,0.044109232725110005,0.035849926041930005,1.6079
2003-03,GBP,-0.00709066344,-0.018557170425,1.5825
2003-04,GBP,0.14315298300035,0.13733142043270002,1.5739
2003-05,GBP,0.06976324932096001,0.06483128230176,1.6224
2003-06,GBP,0.0055195869215400005,0.00238506170104,1.6609
2003-07,GBP,0.05852821446108,0.05447587564395,1.6221
2003-08,GBP,0.021044625268590002,0.01059697306206,1.5939
2003-09,GBP,-0.021312915088499997,-0.024615242644499997,1.6155
2003-10,GBP,0.07849748616432001,0.07638926483752,1.6792
2003-11,GBP,0.02406612894461,0.01925419689139,1.6897
2003-12,GBP,0.05059538077888,0.04815156562456,1.7516
2004-01,GBP,-0.019255943556,-0.0203524757685,1.8255
2004-02,GBP,0.052308013502339996,0.0467213249016,1.8673
2004-03,GBP,-0.023116176244800002,-0.0372884525181,1.8261
2004-04,GBP,0.04403299085588,0.04028398010689,1.8031
2004-05,GBP,-0.023292719096,-0.028483720952,1.786
2004-06,GBP,0.024837785599860003,0.02034836851464,1.8279
2004-07,GBP,-0.0272008918188,-0.030441082686,1.8438
2004-08,GBP,0.028604741746240003,0.01637721762046,1.8203
2004-09,GBP,0.04617878031198,0.04301254519749,1.7937
2004-10,GBP,0.025154927691790004,0.02251261657873,1.8077
2004-11,GBP,0.04078462599044,0.03402078369803,1.8607
2004-12,GBP,0.055636968310600006,0.05163450249426001,1.9286
2005-01,GBP,0.02274018315622,0.02146675614309,1.8797
2005-02,GBP,0.04630089826928,0.03894688145801,1.8871
2005-03,GBP,-0.015593589066000002,-0.0281536548922,1.9043
2005-04,GBP,-0.0372236512012,-0.0411189288855,1.8961
2005-05,GBP,0.06895661406499999,0.06231103945207,1.8559
2005-06,GBP,0.057953532606630005,0.0524449111419,1.8177
2005-07,GBP,0.059375213364109995,0.05757913084336,1.7507
2005-08,GBP,0.015267035844159999,0.0038549143648800004,1.7944
2005-09,GBP,0.05632604609648,0.053384551844799996,1.8064
2005-10,GBP,-0.0420978838791,-0.043395481258199996,1.7651
2005-11,GBP,0.05190292332111,0.044875963819530004,1.7349
2005-12,GBP,0.07241541423956,0.06941875814146001,1.7458
2006-01,GBP,0.03637948688092,0.03546131288512,1.7686
2006-02,GBP,0.0375356685608,0.0309709629656,1.748
