date,REV
2023-03-01,-0.03502570138382658
2023-04-01,-0.050869809996914164
2023-05-01,-0.03465631724768795
2023-06-01,-0.016284004189286633
2023-07-01,-0.0076512374687044
2023-08-01,-0.0037143606465226842
2023-09-01,-0.01586859145053895
2023-10-01,-0.01876781138388607
2023-11-01,-0.01222758353334545
2023-12-01,-0.013792067723735195
2024-01-01,0.0027926889038654146
2024-02-01,-0.033700987763979354
2024-03-01,-0.018427904285051207
2024-04-01,-0.012517857627512247
2024-05-01,-0.025778874174058282
2024-06-01,-0.0334013164006148
2024-07-01,-0.01933753841153791
2024-08-01,-0.011579069109876335
2024-09-01,-0.018349707561796914
2024-10-01,-0.023945332025272832
2024-11-01,-0.03918894630609813
2024-12-01,0.011323743724121578
