date,DIV_return
2007-06-01,0.04158511148194876
2007-07-01,0.004108933674407294
2007-08-01,-0.024000955169795148
2007-09-01,0.0011753240581410718
2007-10-01,0.030122118284058516
2007-11-01,0.03162862493901828
2007-12-01,-0.035249247862981545
2008-01-01,-0.009230723024425482
2008-02-01,-0.10754155720662531
2008-03-01,-0.02186475621130779
2008-04-01,-0.04433176284001261
2008-05-01,0.048078784890928414
2008-06-01,0.003261427109654629
2008-07-01,-0.0977746197727292
2008-08-01,-0.030306013573868258
2008-09-01,0.005365915285931573
2008-10-01,-0.10138959746139484
2008-11-01,-0.15124677769252534
2008-12-01,-0.061241916569024626
2009-01-01,0.005075672756741719
2009-02-01,-0.07212355152645059
2009-03-01,-0.08252379318486504
2009-04-01,0.041541693911741645
2009-05-01,0.10437667070051108
2009-06-01,0.03940960616130004
2009-07-01,-0.006270586943563112
2009-08-01,0.06884289099814637
2009-09-01,0.04188308853215226
2009-10-01,0.02591320015833242
2009-11-01,-0.031941881527056744
2009-12-01,0.0036362537186668455
2010-01-01,0.03765602027084417
2010-02-01,-0.03772452953538551
2010-03-01,0.007198914560223671
2010-04-01,0.05981923648427976
2010-05-01,-0.011015604542576225
2010-06-01,-0.07064780741395754
2010-07-01,-0.03557483104802754
2010-08-01,0.03764259857895999
2010-09-01,-0.03311112481192559
2010-10-01,0.04827241818481902
2010-11-01,0.014250193089319766
2010-12-01,-0.014279794653002963
2011-01-01,0.038845707903194915
2011-02-01,0.002332321673755103
2011-03-01,0.01959129783385295
2011-04-01,-0.030187656862424847
2011-05-01,0.011577490319413946
2011-06-01,-0.021216143839904684
2011-07-01,-0.02535669684631524
2011-08-01,-0.048348266696406246
2011-09-01,-0.08259655591688504
2011-10-01,-0.05795630989700247
2011-11-01,0.0572017457679739
2011-12-01,-0.03146418866946569
2012-01-01,-0.00675915810043692
2012-02-01,0.03556909084553788
2012-03-01,0.039635431497233815
2012-04-01,0.005907921699695019
2012-05-01,-0.024856968894142892
2012-06-01,-0.06766447146575214
2012-07-01,0.029980548493411203
2012-08-01,0.015790789948822836
2012-09-01,0.010629139601775528
2012-10-01,0.011398690376459443
2012-11-01,0.00795753557448362
2012-12-01,0.019342113115752582
2013-01-01,0.021208169531993157
2013-02-01,0.05208593680887014
2013-03-01,0.020948697463407346
2013-04-01,0.01456279012022294
2013-05-01,0.029713746974728207
2013-06-01,0.00442692889120622
2013-07-01,-0.03344410967019697
2013-08-01,0.040631371749708704
2013-09-01,-0.014671228275936078
2013-10-01,0.03723550368186798
2013-11-01,0.02630825415671038
2013-12-01,0.007572383640097668
2014-01-01,0.009042166719718905
2014-02-01,-0.029957618173175663
2014-03-01,0.0351730498453298
2014-04-01,-0.007836917130313883
2014-05-01,0.002206786323135367
2014-06-01,0.01761815790007603
2014-07-01,-0.006102830955538754
2014-08-01,-0.013799183394019551
2014-09-01,0.013307461714080131
2014-10-01,-0.013519457365490792
2014-11-01,-0.002405993417888056
2014-12-01,0.024964280472794594
2015-01-01,-0.008394634182257783
2015-02-01,0.010747399349216962
2015-03-01,0.05961244646310332
2015-04-01,0.006913707572511524
2015-05-01,0.003349958154531538
2015-06-01,0.011446457397972613
2015-07-01,-0.04004011107538261
2015-08-01,0.03587821756883863
2015-09-01,-0.06698231629990051
2015-10-01,-0.03725757001930003
2015-11-01,0.06601241345051735
2015-12-01,0.008697248487601684
2016-01-01,-0.014857454639344923
2016-02-01,-0.04993909540049806
2016-03-01,-0.021885674713529344
2016-04-01,0.03456094367068571
2016-05-01,0.015298896107026661
2016-06-01,0.025570718618335136
2016-07-01,-0.024442877478867937
2016-08-01,0.04970289086333544
2016-09-01,0.012007309297326291
2016-10-01,0.008505928037083898
2016-11-01,0.0009980019456117093
2016-12-01,0.01693457821455749
2017-01-01,0.05067764664653842
2017-02-01,0.010288211603780018
2017-03-01,0.031614706161824394
2017-04-01,0.03053657898174631
2017-05-01,0.02511031879416476
2017-06-01,0.02711826653055395
2017-07-01,0.0030621496580071237
2017-08-01,0.016354404256845926
2017-09-01,0.011639786746720634
2017-10-01,0.034691999011395996
2017-11-01,0.03662522884413903
2017-12-01,0.01208910706499425
2018-01-01,0.026062760821571405
2018-02-01,0.026475900215133224
2018-03-01,-0.018585108891306084
2018-04-01,-0.00416083193422141
2018-05-01,0.052756970352471615
2018-06-01,0.020130938719087162
2018-07-01,0.01676444354521307
2018-08-01,0.041369860511893064
2018-09-01,0.012070531850078513
2018-10-01,0.02137789679665781
2018-11-01,-0.04383349244341607
2018-12-01,0.012767250332722519
2019-01-01,-0.02811933960270519
2019-02-01,0.0767840701799857
2019-03-01,0.0533324014769291
2019-04-01,0.02944290872774274
2019-05-01,0.05570275248991158
2019-06-01,-0.016071019308350146
2019-07-01,0.05949779230686516
2019-08-01,0.02856792263489135
2019-09-01,-0.0014733275341875093
2019-10-01,0.04364503575283993
2019-11-01,0.030207564017989474
2019-12-01,0.04191156348954536
2020-01-01,0.027624438321356012
2020-02-01,0.009071277895544133
2020-03-01,-0.06761107509865133
2020-04-01,-0.12403203449199882
2020-05-01,0.08039543345465874
2020-06-01,0.05159851851940265
2020-07-01,0.02678214403168355
2020-08-01,-0.0010150839168751096
2020-09-01,0.04676309651663006
2020-10-01,-0.00844807392117548
2020-11-01,-0.030270515103169558
2020-12-01,0.12739752988855085
2021-01-01,0.03415891491317845
2021-02-01,-0.0010541613428393215
2021-03-01,0.02500209902377098
2021-04-01,0.0555706323791854
2021-05-01,0.029242020854245904
2021-06-01,0.02486912972502761
2021-07-01,0.02250788463737513
