date,us_ret_with_div_usd,australia_ret_with_div_usd,france_ret_with_div_usd,germany_ret_with_div_usd,japan_ret_with_div_usd,switzerland_ret_with_div_usd,uk_ret_with_div_usd
2002-06-01,-0.01051,0.03325610912113497,0.013428325280915754,0.015840342456161283,0.062214804537974455,0.0348333209309184,0.004701650669201252
2002-07-01,-0.070259,-0.051421427314678025,-0.044849813873548805,-0.03225147012237206,-0.03851824160493811,-0.03926413528826611,-0.037507655201523216
2002-08-01,-0.081125,-0.059533419205308635,-0.11795657829401107,-0.12270632837493711,-0.06880576663529425,-0.1470575342705328,-0.10105338770369421
2002-09-01,0.007949,0.02597006957269543,-0.0020766397944994575,-0.00034755456170121324,-0.03602510930952385,0.007791244922952467,0.015599142273197586
2002-10-01,-0.099923,-0.033042018533943174,-0.1480850883308179,-0.2044195406302265,-0.04478580273493982,-0.08946342200000001,-0.1137353336599628
2002-11-01,0.07494,0.03254496046444921,0.13321270170040767,0.1263345300433858,-0.04959556501234563,0.04961713527534739,0.0838914828116788
2002-12-01,0.061282,-0.003572238681631923,0.06510270603833024,0.04623858259322877,0.03391087759999989,0.057410836647610486,0.042027546567067864
2003-01-01,-0.053334,0.02614819820234704,-0.025259117047871316,-0.05811495115617027,-0.03012272082926848,-0.04441390172014381,-0.03231982977053527
2003-02-01,-0.023367,0.007503602170526813,-0.02615371772029762,-0.01853493968085118,-0.02579615199999996,-0.03874906392732291,-0.09390535569836156
2003-03-01,-0.015417,-0.043732251093854924,-0.051315089769958244,-0.05198543780806664,-0.0029480539999999777,-0.05367947016526109,0.01120246226397792
2003-04-01,0.010321,0.05469192755943464,-0.03801833702213575,-0.03126101509289614,-0.042374557928571366,-0.020672878790333526,-0.009890761239052082
2003-05-01,0.082768,0.10896515273049201,0.18449131699248755,0.24266615568094263,0.03965792142771085,0.17822264965980694,0.12457225164597507
2003-06-01,0.063471,0.03367158651292512,0.042946449858480396,0.033218056215541525,0.04954953390000005,0.002401138294663596,0.06775070912928993
2003-07-01,0.016346,0.01150881308183993,0.006722708103563679,0.03903749933227707,0.06485915341647042,0.004217191713855817,-0.02011521175371178
2003-08-01,0.023112,0.021560516190282986,0.017362568432292003,0.04165936236744372,0.04077719840000005,0.03310035148564028,0.018069606667727056
2003-09-01,0.024965,0.04680460281152188,0.04444863215642325,0.020382269553402166,0.10244973676428581,0.026075426997320905,0.02693381955928853
2003-10-01,-0.00912,0.05516293386435578,-0.0017036469562439205,-0.007174790894470595,0.0725269171126437,0.02365950385830118,0.025717552246115716
2003-11-01,0.060361,0.06630972341511243,0.06651982441454685,0.09650045407964836,0.03750174063296696,0.03455674628361782,0.05329223986875897
2003-12-01,0.016594,0.016453660295334016,0.06426034364155409,0.06725472421947054,-0.028662387543478385,0.07217053069649748,0.05139833155061857
2004-01-01,0.045476,0.08164001946041144,0.06152060197970388,0.06306992397537803,0.05377836291612925,0.04719875941946916,0.07229390259100255
2004-02-01,0.023042,-3.4753234417594925e-05,0.029047553780028323,0.03716048477164091,0.005508228300000084,0.04409896998429996,0.012107990688797754
2004-03-01,0.015443,-0.006843797809626739,-0.004100859725537975,-0.03242718728528482,0.009994286468084868,-0.010640781396962673,0.005330633800342932
2004-04-01,-0.010662,0.015540610132377175,-0.040789252823260624,-0.05222830768354936,0.10960805399782592,-0.038739464504983334,-0.025094477071792354
2004-05-01,-0.024222,-0.06247616878113671,0.01012144876136456,0.02906592923513207,-0.016287350473118134,0.0406693273052523,0.014705449854583774
2004-06-01,0.014068,-0.003133065482781583,0.022427275374783173,-0.0010593192153334208,-0.01806115958426968,0.004271819063551119,0.010112445675028114
2004-07-01,0.021611,0.06503864048678087,0.03608162791943048,0.03875526448126143,0.0468089785000001,0.011207540375393954,0.02240485652328883
2004-08-01,-0.037698,0.0013727125987290645,-0.024664051201450987,-0.03641875234664915,-0.04491408600000002,-0.033219037945959484,-0.02731001470213701
2004-09-01,0.002703,0.008666450414962723,-0.0060221962352555725,-0.02303913629136256,-0.009022329999999967,-0.017289302898510606,0.0008716922182936404
2004-10-01,0.020556,0.08181772594647141,0.03756333267119616,0.04763119489909173,-0.01257297353846154,0.031919459123137095,0.03375102308500866
2004-11-01,0.017806,0.08919724009137231,0.0568564322268732,0.05252400942030877,0.026859903304347732,0.03965387352836003,0.043642443782093254
2004-12-01,0.048214,0.042302587376038314,0.047512804435700495,0.07351953416448409,0.01287754200000002,0.041294436146082525,0.059210471327521885
2005-01-01,0.03517,0.025441157140794868,0.0012450651462254658,0.00559975825801895,0.0587538198333335,0.010092503356111004,0.0027617354395415017
2005-02-01,-0.026546,0.03881808822018784,0.022078817593713218,0.0008256056091364705,-0.021830767474226853,0.013342886200377269,0.016082197517401697
2005-03-01,0.022646,0.02768385894193548,0.047892258940329,0.03890699736156167,0.025601020499999905,0.04917555566580889,0.03387362008915251
2005-04-01,-0.016944,-0.022820573356014284,-0.010301806137898994,-0.02136598769283271,-0.010434019918947546,-0.01981569606924516,-0.012459403655936674
2005-05-01,-0.025206,-0.04214915855324375,-0.04612738621656498,-0.04866075899196476,-0.03148177260215035,-0.031160146636700636,-0.04041688580918723
2005-06-01,0.037954,0.0276306916333815,0.016324129182877956,0.01147495200425297,-0.009853392548936246,-0.0020531279317429485,0.015807575674874563
2005-07-01,0.011529,0.025810978611764623,0.022446476578543706,0.020079520990793798,-0.0033912058586955673,-0.000595748683510644,-0.0061520719319305694
2005-08-01,0.043357,0.016703630915071876,0.07310035839714302,0.08491902951187624,0.02777398777528095,0.0803251205648412,0.05972314184447369
